index_date,ggbr4_(real)_observed,ggbr4_(real)_fitted,ggbr4_(real)_predicted,std_error,ci_95_lower,ci_95_upper
2010-01-01,24.3708623160938,,,,,
2010-02-01,24.0303321418947,25.06114629510842,,,,
2010-03-01,24.8319680252542,27.997600459763373,,,,
2010-04-01,25.0408346376154,22.06974397436906,,,,
2010-05-01,25.7375686020712,23.051847256998016,,,,
2010-06-01,24.506738347726,24.650201075972944,,,,
2010-07-01,25.8245350087824,24.701350001031372,,,,
2010-08-01,24.1999739847354,26.567991997927287,,,,
2010-09-01,22.9828105703656,24.706671122018555,,,,
2010-10-01,22.3985053592651,22.368228026344532,,,,
2010-11-01,19.7170548435481,23.0662549589575,,,,
2010-12-01,21.9501354228844,20.90636790837546,,,,
2011-01-01,20.3860347991967,18.813208576032586,,,,
2011-02-01,20.7308832967317,21.761786288287027,,,,
2011-03-01,19.7952223246426,19.240303565312637,,,,
2011-04-01,18.6088124910976,19.368781098070542,,,,
2011-05-01,18.0907517990334,20.889722352395687,,,,
2011-06-01,17.2256583091123,17.52377362590414,,,,
2011-07-01,14.2643506475018,16.606476306284968,,,,
2011-08-01,14.3356531979473,14.61755785835397,,,,
2011-09-01,13.5801075225531,14.064807797865853,,,,
2011-10-01,15.9773470185633,12.232707278396393,,,,
2011-11-01,13.5768122827722,15.260742665109008,,,,
2011-12-01,13.7910952580874,14.107239183485337,,,,
2012-01-01,15.8105901705925,14.329586525799227,,,,
2012-02-01,16.8327246633017,14.907739663688702,,,,
2012-03-01,17.0842180731154,16.609077565648956,,,,
2012-04-01,17.6972432163036,15.198702356553806,,,,
2012-05-01,16.708210769198,17.365428033741523,,,,
2012-06-01,18.565125498311,20.563776231139983,,,,
2012-07-01,19.0991679730441,17.371011604352706,,,,
2012-08-01,18.5534042378835,20.84562651781506,,,,
2012-09-01,19.3876933321828,12.283317575812255,,,,
2012-10-01,17.8207454059601,21.442583156218785,,,,
2012-11-01,17.5442465172737,15.74837759155602,,,,
2012-12-01,17.2797603882562,17.12588326204606,,,,
2013-01-01,16.8311630061088,19.046846595670047,,,,
2013-02-01,15.6251477810415,15.049470836794587,,,,
2013-03-01,15.0485257459351,15.41847213538843,,,,
2013-04-01,15.4856449255917,17.44111356260154,,,,
2013-05-01,13.9325688669729,14.4642830588309,,,,
2013-06-01,13.4099656224206,13.223516009414247,,,,
2013-07-01,15.0413973481151,14.41824167636453,,,,
2013-08-01,17.5844259630225,12.41054719735164,,,,
2013-09-01,16.628975961466,18.75862435780855,,,,
2013-10-01,17.6304477168233,16.390916237576267,,,,
2013-11-01,17.4795417365838,16.88705097920361,,,,
2013-12-01,17.8579253524981,17.38633799537628,,,,
2014-01-01,16.7296343526132,19.422253767641198,,,,
2014-02-01,13.9494131651511,15.945897873751797,,,,
2014-03-01,14.2058448257462,11.6394104746634,,,,
2014-04-01,13.2962187788151,15.737136570036123,,,,
2014-05-01,14.2235458004628,13.603328539342762,,,,
2014-06-01,13.7213826138971,12.76124631088764,,,,
2014-07-01,13.797338100364,13.951801085992953,,,,
2014-08-01,13.2126372158204,14.618204512435476,,,,
2014-09-01,11.8045442808271,14.564326455311798,,,,
2014-10-01,10.853980160432,12.696819538687127,,,,
2014-11-01,10.1475721603398,10.820692278108556,,,,
2014-12-01,9.27601453003157,11.515590347151296,,,,
2015-01-01,8.9669655995263,7.159421714677702,,,,
2015-02-01,9.99093997466475,6.37870217192112,,,,
2015-03-01,9.74701798735951,10.93474294072466,,,,
2015-04-01,9.96257564294974,8.511024578865106,,,,
2015-05-01,9.4605205447155,9.717392111345145,,,,
2015-06-01,8.22160581138333,10.266072992601309,,,,
2015-07-01,6.19815414522305,8.394020415633973,,,,
2015-08-01,5.2974070193298,5.69450187987033,,,,
2015-09-01,5.53751414073542,3.926989565790316,,,,
2015-10-01,5.19238837693129,4.654395839866188,,,,
2015-11-01,5.28716456637417,5.442420140157776,,,,
2015-12-01,4.58452903789868,5.17629392004795,,,,
2016-01-01,3.34381272649821,5.091534568788338,,,,
2016-02-01,3.53601503203923,4.635422764662026,,,,
2016-03-01,6.13392541368992,2.85962517007064,,,,
2016-04-01,7.7520169388692,6.053244238690964,,,,
2016-05-01,6.33739432314966,6.666925024380267,,,,
2016-06-01,6.3826388589509,5.851663945262342,,,,
2016-07-01,7.99166619131449,5.368770895267521,,,,
2016-08-01,9.0999751556591,8.20176776857664,,,,
2016-09-01,8.99747033459976,8.514262208448494,,,,
2016-10-01,10.9069047326745,8.633239331880269,,,,
2016-11-01,12.8349390083584,10.627609495593564,,,,
2016-12-01,10.8839048678537,11.765107916761853,,,,
2017-01-01,11.8160470971263,11.155334982978463,,,,
2017-02-01,13.0947959161736,11.500352956397734,,,,
2017-03-01,10.4038660455277,14.763036838903183,,,,
2017-04-01,9.75436652984973,10.036818795598734,,,,
2017-05-01,10.2407213237166,10.669941718016721,,,,
2017-06-01,10.5108267066084,10.146989857074482,,,,
2017-07-01,10.769347253812,9.95540299675292,,,,
2017-08-01,11.924940126512,11.510757191345897,,,,
2017-09-01,11.2149341441519,11.22088171489551,,,,
2017-10-01,11.0276868810756,11.315604477854802,,,,
2017-11-01,10.5705389946305,11.073409890728804,,,,
2017-12-01,12.580945579938,8.972304883049954,,,,
2018-01-01,13.8072271132358,12.469892427526602,,,,
2018-02-01,16.8991118608062,14.203101473551481,,,,
2018-03-01,14.9460960996942,15.82343904941532,,,,
2018-04-01,16.6126294879511,16.137010668351706,,,,
2018-05-01,15.3667380805754,14.253472573369788,,,,
