index_date,ggbr4_(real),car_production,volume
2010-01-01,0.0,177029.486850865,87404505.6581131
2010-02-01,-0.3405301741990989,205451.981726366,91768581.1872628
2010-03-01,0.8016358833594985,281697.032529441,116454125.717375
2010-04-01,0.2088666123612022,209344.932775133,28929503.3697359
2010-05-01,0.6967339644557988,189774.53382826,1674534.11817698
2010-06-01,-1.2308302543452,198385.853888437,51075859.0172793
2010-07-01,1.317796661056402,213739.140350464,79459631.8098453
2010-08-01,-1.6245610240470008,228906.540685761,35231264.7554079
2010-09-01,-1.2171634143698,234258.439185903,42542864.457828
2010-10-01,-0.5843052111004994,224846.732281644,54683626.7990504
2010-11-01,-2.6814505157169997,240301.670110304,59856490.6202347
2010-12-01,2.233080579336299,248782.286088807,69527248.8759788
2011-01-01,-1.5641006236877004,196770.252151867,64540497.3670451
2011-02-01,0.3448484975350006,237475.460370215,57377210.1671977
2011-03-01,-0.9356609720890994,230080.145293397,60921141.0076619
2011-04-01,-1.186409833545003,212615.759540036,70155884.3909529
2011-05-01,-0.5180606920641999,238837.428902189,56907034.258045
2011-06-01,-0.8650934899210974,228053.74296539,68141303.5799511
2011-07-01,-2.961307661610501,210496.062276202,53802722.2934622
2011-08-01,0.07130255044550005,228547.162180812,79576341.3549507
2011-09-01,-0.7555456753942007,226526.821763135,62199879.4475265
2011-10-01,2.397239496010201,199480.571878939,67016593.9579777
2011-11-01,-2.4005347357910995,225235.570834393,81402206.8630389
2011-12-01,0.21428297531520002,212642.619289088,76266983.6314667
2012-01-01,2.019494912505099,212356.144748529,71373957.5994212
2012-02-01,1.0221344927092009,220014.474263587,94830734.2407618
2012-03-01,0.25149340981370116,225181.988418002,88400522.4531528
2012-04-01,0.6130251431881995,191104.424711092,66403735.753474
2012-05-01,-0.9890324471056005,215399.281525706,84796362.2393812
2012-06-01,1.8569147291130008,279866.251745466,83883251.5702085
2012-07-01,0.5340424747330985,268797.488359024,94535178.3669193
2012-08-01,-0.5457637351606017,317586.145502856,116804331.754182
2012-09-01,0.8342890942993009,213582.212962506,146688354.495891
2012-10-01,-1.5669479262226993,246105.503072332,81949415.8405249
2012-11-01,-0.27649888868640105,224243.789810483,120071700.500054
2012-12-01,-0.2644861290174987,228456.577001476,125019791.713627
2013-01-01,-0.4485973821474012,246888.421956172,111112432.182437
2013-02-01,-1.2060152250672989,205917.512870651,110136136.088768
2013-03-01,-0.5766220351064,213657.671675941,128356597.834406
2013-04-01,0.43711917965659985,249417.886057083,165220443.536999
2013-05-01,-1.5530760586187995,236937.588230484,161091704.332341
2013-06-01,-0.5226032445523003,237495.301304463,171018497.216555
2013-07-01,1.6314317256944992,240020.559845402,135531749.017535
2013-08-01,2.543028614907401,232614.197676054,210571477.368037
2013-09-01,-0.9554500015564997,221445.058699807,151108633.465924
2013-10-01,1.0014717553573007,234939.366932413,161082359.44199
2013-11-01,-0.15090598023950008,214738.394325822,117665654.888786
2013-12-01,0.3783836159142986,221785.502310726,124287441.678547
2014-01-01,-1.1282909998849,271686.003089393,160292999.414728
2014-02-01,-2.7802211874621,238222.739833398,139205901.527165
2014-03-01,0.2564316605950996,193560.351391598,118988133.196327
2014-04-01,-0.9096260469311002,239582.8870013,122857321.931426
2014-05-01,0.9273270216477005,236142.732347675,113575479.41542
2014-06-01,-0.5021631865656992,216023.115069967,101424622.530949
2014-07-01,0.0759554864668992,226058.189688677,137065949.05136
2014-08-01,-0.584700884543599,207567.081740789,92813217.5128616
2014-09-01,-1.4080929349933005,234893.048209947,108790232.509165
2014-10-01,-0.9505641203951001,237914.245056503,115554403.942286
2014-11-01,-0.7064080000921997,226552.525607497,118261415.423146
2014-12-01,-0.8715576303082297,267820.397304586,224977509.627568
2015-01-01,-0.30904893050526994,222369.248383775,154585373.413448
2015-02-01,1.0239743751384491,182921.012179662,127661407.366561
2015-03-01,-0.2439219873052405,193163.732808758,118932095.748593
2015-04-01,0.21555765559023143,183969.759916827,120216064.543809
2015-05-01,-0.5020550982342407,178640.754449659,111534032.103924
2015-06-01,-1.2389147333321695,180354.622119165,84757131.8804985
2015-07-01,-2.0234516661602804,179050.112921598,106359161.775607
2015-08-01,-0.9007471258932505,163704.292561182,121037824.522889
2015-09-01,0.24010712140561985,167213.377412242,188042941.861416
2015-10-01,-0.3451257638041296,154882.966260777,158212736.590329
2015-11-01,0.09477618944288047,157712.791627074,156908901.483139
2015-12-01,-0.7026355284754908,159278.356028038,136971269.940384
2016-01-01,-1.2407163114004698,147585.445496724,101708024.918146
2016-02-01,0.19220230554102002,154345.477250323,151529813.968467
2016-03-01,2.5979103816506903,151108.864635322,195393039.935695
2016-04-01,1.6180915251792802,137368.729609038,109053604.301668
2016-05-01,-1.4146226157195407,139138.9038878,173890422.687108
2016-06-01,0.045244535801240104,144909.784078183,203154287.917971
2016-07-01,1.6090273323635902,139657.986062716,202823854.765446
2016-08-01,1.1083089643446105,141148.545771138,146687009.61909
2016-09-01,-0.10250482105934111,131998.166632476,153151488.579489
2016-10-01,1.9094343980747404,124820.037230816,127087690.059354
2016-11-01,1.9280342756839008,140140.664878347,155709391.789802
2016-12-01,-1.9510341405047011,137364.449605953,139854821.556638
2017-01-01,0.9321422292725998,138456.239713814,95686766.8999491
2017-02-01,1.2787488190473013,141027.634876351,102116066.45962
2017-03-01,-2.690929870645901,160520.669881107,94585868.2624387
2017-04-01,-0.6494995156779702,137333.926554684,116039135.420451
2017-05-01,0.4863547938668713,164326.006765078,129603994.324276
2017-06-01,0.2701053828917992,166863.316470702,151976351.325515
