index_date,ggbr4_(reais),car_production,volume
2019-01-01,14.8982693594699,182335.716494372,232575982.687125
2019-02-01,15.5424058266924,186084.148138275,307379930.888361
2019-03-01,14.5607028138045,169893.074128245,342050472.36539
2019-04-01,14.0888012436502,196391.164740161,286096753.585741
2019-05-01,14.2396627362187,198502.468646411,265472730.619583
2019-06-01,14.9995989527461,186636.49082391,205914027.589383
2019-07-01,13.5213902447398,194487.405559664,195021307.829363
2019-08-01,13.1223740012608,190102.189192242,218460205.585427
2019-09-01,13.4720467962794,188731.483896559,177259309.645044
2019-10-01,13.9017477333136,199212.47405392,241154326.294385
2019-11-01,17.0446288219729,186313.020060262,220183833.852295
2019-12-01,20.1665711952435,184145.961766862,248244255.338055
2020-01-01,19.2852802354751,173222.775977203,256258520.957462
2020-02-01,17.3906247781107,187525.632199672,210346518.295711
2020-03-01,9.43684151257065,129920.190941191,379231544.292675
2020-04-01,11.6547213309648,46579.6154173652,280087301.196965
2020-05-01,13.5251367442894,43527.6375012851,302453153.668788
2020-06-01,15.6610045261795,107680.117219218,289961826.54837
2020-07-01,17.0933459512019,134762.102379144,296071862.709275
2020-08-01,19.4348378889946,136684.797986697,286383197.106338
2020-09-01,21.2299541257475,162412.915151119,317391058.452452
2020-10-01,22.4639240849896,162981.346271894,306911826.145977
2020-11-01,22.7669871947648,167087.98016295,299781705.766857
2020-12-01,24.570345405175,164323.984751583,304824077.528707
2021-01-01,22.5416002535673,149566.90702429,281234522.960636
2021-02-01,26.3944318178038,149034.898643602,351135537.530425
2021-03-01,29.5510696269038,140539.487502459,330614650.771229
2021-04-01,33.0982983726123,133508.070591484,248508952.315954
2021-05-01,32.8004806085827,141695.35191506,218237463.561563
2021-06-01,29.2062638991177,139209.645519095,232486368.40015
2021-07-01,30.3771383246888,124102.390846841,270219823.219248
2021-08-01,28.6923951452182,115896.563600083,256335513.650681
2021-09-01,27.6415895766718,110760.050603659,291138726.104681
2021-10-01,27.6541214039331,113247.402121345,238958939.720056
2021-11-01,,128674.884067496,263952517.847676
2021-12-01,,125806.088061708,259360851.605205
2022-01-01,,170940.460653317,263562569.837583
2022-02-01,,176637.57723359,273164958.127444
2022-03-01,,165499.496395472,293235983.774808
2022-04-01,,173172.508907579,269290158.740933
2022-05-01,,165692.879154511,271769789.718936
2022-06-01,,157027.211750278,286227013.222841
2022-07-01,,144738.787379328,281827402.583451
2022-08-01,,143932.776559238,287229610.349828
