index_date,ggbr4_(reais),car_production,volume
2010-01-01,24.3708623160938,177029.486850865,87404505.6581131
2010-02-01,24.0303321418947,205451.981726366,91768581.1872628
2010-03-01,24.8319680252542,281697.032529441,116454125.717375
2010-04-01,25.0408346376154,209344.932775133,28929503.3697359
2010-05-01,25.7375686020712,189774.53382826,1674534.11817698
2010-06-01,24.506738347726,198385.853888437,51075859.0172793
2010-07-01,25.8245350087824,213739.140350464,79459631.8098453
2010-08-01,24.1999739847354,228906.540685761,35231264.7554079
2010-09-01,22.9828105703656,234258.439185903,42542864.457828
2010-10-01,22.3985053592651,224846.732281644,54683626.7990504
2010-11-01,19.7170548435481,240301.670110304,59856490.6202347
2010-12-01,21.9501354228844,248782.286088807,69527248.8759788
2011-01-01,20.3860347991967,196770.252151867,64540497.3670451
2011-02-01,20.7308832967317,237475.460370215,57377210.1671977
2011-03-01,19.7952223246426,230080.145293397,60921141.0076619
2011-04-01,18.6088124910976,212615.759540036,70155884.3909529
2011-05-01,18.0907517990334,238837.428902189,56907034.258045
2011-06-01,17.2256583091123,228053.74296539,68141303.5799511
2011-07-01,14.2643506475018,210496.062276202,53802722.2934622
2011-08-01,14.3356531979473,228547.162180812,79576341.3549507
2011-09-01,13.5801075225531,226526.821763135,62199879.4475265
2011-10-01,15.9773470185633,199480.571878939,67016593.9579777
2011-11-01,13.5768122827722,225235.570834393,81402206.8630389
2011-12-01,13.7910952580874,212642.619289088,76266983.6314667
2012-01-01,15.8105901705925,212356.144748529,71373957.5994212
2012-02-01,16.8327246633017,220014.474263587,94830734.2407618
2012-03-01,17.0842180731154,225181.988418002,88400522.4531528
2012-04-01,17.6972432163036,191104.424711092,66403735.753474
2012-05-01,16.708210769198,215399.281525706,84796362.2393812
2012-06-01,18.565125498311,279866.251745466,83883251.5702085
2012-07-01,19.0991679730441,268797.488359024,94535178.3669193
2012-08-01,18.5534042378835,317586.145502856,116804331.754182
2012-09-01,19.3876933321828,213582.212962506,146688354.495891
2012-10-01,17.8207454059601,246105.503072332,81949415.8405249
2012-11-01,17.5442465172737,224243.789810483,120071700.500054
2012-12-01,17.2797603882562,228456.577001476,125019791.713627
2013-01-01,16.8311630061088,246888.421956172,111112432.182437
2013-02-01,15.6251477810415,205917.512870651,110136136.088768
2013-03-01,15.0485257459351,213657.671675941,128356597.834406
2013-04-01,15.4856449255917,249417.886057083,165220443.536999
2013-05-01,13.9325688669729,236937.588230484,161091704.332341
2013-06-01,13.4099656224206,237495.301304463,171018497.216555
2013-07-01,15.0413973481151,240020.559845402,135531749.017535
2013-08-01,17.5844259630225,232614.197676054,210571477.368037
2013-09-01,16.628975961466,221445.058699807,151108633.465924
2013-10-01,17.6304477168233,234939.366932413,161082359.44199
2013-11-01,17.4795417365838,214738.394325822,117665654.888786
2013-12-01,17.8579253524981,221785.502310726,124287441.678547
2014-01-01,16.7296343526132,271686.003089393,160292999.414728
2014-02-01,13.9494131651511,238222.739833398,139205901.527165
2014-03-01,14.2058448257462,193560.351391598,118988133.196327
2014-04-01,13.2962187788151,239582.8870013,122857321.931426
2014-05-01,14.2235458004628,236142.732347675,113575479.41542
2014-06-01,13.7213826138971,216023.115069967,101424622.530949
2014-07-01,13.797338100364,226058.189688677,137065949.05136
2014-08-01,13.2126372158204,207567.081740789,92813217.5128616
2014-09-01,11.8045442808271,234893.048209947,108790232.509165
2014-10-01,10.853980160432,237914.245056503,115554403.942286
2014-11-01,10.1475721603398,226552.525607497,118261415.423146
2014-12-01,9.27601453003157,267820.397304586,224977509.627568
2015-01-01,8.9669655995263,222369.248383775,154585373.413448
2015-02-01,9.99093997466475,182921.012179662,127661407.366561
